time,siteID,gcc_90,gcc_sd
2016-12-13,HARV,0.32901,1.6156690533012782e-4
2016-12-14,HARV,0.32811,1.733482986736843e-4
2016-12-15,HARV,0.32955,5.175330114680488e-4
2016-12-16,HARV,0.32874,4.1231798507502095e-4
2016-12-17,HARV,0.33152,4.027147651139912e-4
2016-12-18,HARV,0.33194,3.6396232144079587e-4
2016-12-19,HARV,0.32941,3.3542668288590114e-4
2016-12-20,HARV,0.3296,2.998887548844124e-4
2016-12-21,HARV,0.32933,3.533123402825377e-4
2016-12-22,HARV,0.32927,7.859674906295599e-4
2016-12-23,HARV,0.32933,4.7783539305616007e-4
2016-12-24,HARV,0.32995,3.33970500958108e-4
2016-12-25,HARV,0.32969,4.103639479729105e-4
2016-12-26,HARV,0.33023,4.3804952660070595e-4
2016-12-27,HARV,0.33142,4.0475535568932085e-4
2016-12-28,HARV,0.32951,2.587143251557998e-4
2016-12-29,HARV,0.33074,3.821475300114833e-4
2016-12-30,HARV,0.32913,5.424946251967373e-4
2016-12-31,HARV,0.32985,4.8659605885147865e-4
2017-01-01,HARV,0.33002,6.371240307916857e-4
2017-01-02,HARV,0.32976,1.663923627073882e-4
2017-01-03,HARV,0.3301,1.1152198465424886e-4
2017-01-04,HARV,0.33048,3.728261618218074e-4
2017-01-05,HARV,0.32928,4.564566389760468e-4
2017-01-06,HARV,0.32916,2.724710993848698e-4
2017-01-07,HARV,0.32927,1.0661015190775792e-4
2017-01-08,HARV,0.32865,6.698715152465973e-4
2017-01-09,HARV,0.32841,2.1299374811176215e-4
2017-01-10,HARV,0.32982,6.778969881409825e-5
2017-01-11,HARV,0.32971,3.9581975128864187e-4
2017-01-12,HARV,0.33217,1.8748344144570948e-4
2017-01-13,HARV,0.32894,3.3948971310795523e-4
2017-01-14,HARV,0.3283,1.1004233693614264e-4
2017-01-15,HARV,0.32855,4.964574404761035e-4
2017-01-16,HARV,0.32831,3.34470825426112e-4
2017-01-17,HARV,0.3283,3.2501660616915477e-4
2017-01-18,HARV,0.32792,3.113511542045233e-4
2017-01-19,HARV,0.33022,3.2292929914286224e-4
2017-01-20,HARV,0.32969,7.473538625834089e-5
2017-01-21,HARV,NA,NA
2017-01-22,HARV,NA,NA
